Nitrogen,Potassium,Phosphorus,Fertilizer
0.226027397260274,0.0,0.0,Urea
0.0547945205479452,0.0,0.4,DAP
0.02054794520547945,0.060000000000000005,0.33333333333333337,Fourteen:Thirty Five:Fourteen
0.1232876712328767,0.0,0.22222222222222224,Twenty Eight:Twenty Eight
0.21232876712328766,0.0,0.0,Urea
0.0547945205479452,0.06666666666666667,0.14444444444444446,Seventeen:Seventeen:Seventeen
0.03424657534246575,0.0,0.11111111111111112,Twenty:Twenty
0.2534246575342466,0.0,0.0,Urea
0.11643835616438356,0.0,0.2,Twenty Eight:Twenty Eight
0.03424657534246575,0.04666666666666667,0.33333333333333337,Fourteen:Thirty Five:Fourteen
0.06164383561643835,0.0,0.4444444444444445,DAP
0.0684931506849315,0.1,0.13333333333333333,Seventeen:Seventeen:Seventeen
0.2191780821917808,0.0,0.0,Urea
0.136986301369863,0.0,0.24444444444444446,Twenty Eight:Twenty Eight
0.0684931506849315,0.0,0.45555555555555555,DAP
0.0410958904109589,0.08666666666666667,0.15555555555555556,Seventeen:Seventeen:Seventeen
0.2328767123287671,0.0,0.0,Urea
0.11643835616438356,0.0,0.2111111111111111,Twenty Eight:Twenty Eight
0.23972602739726023,0.0,0.0,Urea
0.06164383561643835,0.0,0.4,DAP
0.0410958904109589,0.0,0.1,Twenty:Twenty
0.0547945205479452,0.09333333333333334,0.13333333333333333,Seventeen:Seventeen:Seventeen
0.04794520547945205,0.0,0.41111111111111115,DAP
0.06164383561643835,0.0,0.11111111111111112,Twenty:Twenty
0.13013698630136986,0.0,0.22222222222222224,Twenty Eight:Twenty Eight
0.03424657534246575,0.060000000000000005,0.32222222222222224,Fourteen:Thirty Five:Fourteen
0.0547945205479452,0.0,0.43333333333333335,DAP
0.0684931506849315,0.0,0.14444444444444446,Twenty:Twenty
0.136986301369863,0.0,0.2555555555555556,Twenty Eight:Twenty Eight
0.0547945205479452,0.0,0.4444444444444445,DAP
0.13013698630136986,0.0,0.2111111111111111,Twenty Eight:Twenty Eight
0.0273972602739726,0.06666666666666667,0.34444444444444444,Fourteen:Thirty Five:Fourteen
